"Cloudlet","","Vertual Machine","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load","","Length","Load",""
"CL = 51"," -> ","VM = 12","","8861.0","9.466880341880342","","6712.0","9.671469740634006","","10767.0","10.897773279352228","","8017.0","11.965671641791046","","8179.0","11.204109589041096","","5938.0","11.9476861167002","","7002.0","14.679245283018869","","5606.0","9.358931552587647","","5940.0","9.658536585365853","","9768.0","10.018461538461539","","6024.0","10.279863481228668","","5506.0","9.992740471869329","","9566.0","11.898009950248756","","6165.0","12.711340206185566",""
"CL = 52"," -> ","VM = 7","","8861.0","9.466880341880342","","6712.0","9.671469740634006","","10767.0","10.897773279352228","","8017.0","11.965671641791046","","8179.0","11.204109589041096","","5938.0","11.9476861167002","","7002.0","14.679245283018869","","8587.0","14.335559265442404","","5940.0","9.658536585365853","","9768.0","10.018461538461539","","6024.0","10.279863481228668","","5506.0","9.992740471869329","","9566.0","11.898009950248756","","6165.0","12.711340206185566",""
"CL = 53"," -> ","VM = 0","","10417.0","11.129273504273504","","6712.0","9.671469740634006","","10767.0","10.897773279352228","","8017.0","11.965671641791046","","8179.0","11.204109589041096","","5938.0","11.9476861167002","","7002.0","14.679245283018869","","8587.0","14.335559265442404","","5940.0","9.658536585365853","","9768.0","10.018461538461539","","6024.0","10.279863481228668","","5506.0","9.992740471869329","","9566.0","11.898009950248756","","6165.0","12.711340206185566",""
"CL = 54"," -> ","VM = 8","","10417.0","11.129273504273504","","6712.0","9.671469740634006","","10767.0","10.897773279352228","","8017.0","11.965671641791046","","8179.0","11.204109589041096","","5938.0","11.9476861167002","","7002.0","14.679245283018869","","8587.0","14.335559265442404","","7808.0","12.695934959349593","","9768.0","10.018461538461539","","6024.0","10.279863481228668","","5506.0","9.992740471869329","","9566.0","11.898009950248756","","6165.0","12.711340206185566",""
"CL = 55"," -> ","VM = 1","","10417.0","11.129273504273504","","8377.0","12.070605187319885","","10767.0","10.897773279352228","","8017.0","11.965671641791046","","8179.0","11.204109589041096","","5938.0","11.9476861167002","","7002.0","14.679245283018869","","8587.0","14.335559265442404","","7808.0","12.695934959349593","","9768.0","10.018461538461539","","6024.0","10.279863481228668","","5506.0","9.992740471869329","","9566.0","11.898009950248756","","6165.0","12.711340206185566",""
"CL = 56"," -> ","VM = 11","","10417.0","11.129273504273504","","8377.0","12.070605187319885","","10767.0","10.897773279352228","","8017.0","11.965671641791046","","8179.0","11.204109589041096","","5938.0","11.9476861167002","","7002.0","14.679245283018869","","8587.0","14.335559265442404","","7808.0","12.695934959349593","","9768.0","10.018461538461539","","6024.0","10.279863481228668","","7248.0","13.154264972776769","","9566.0","11.898009950248756","","6165.0","12.711340206185566",""
"CL = 57"," -> ","VM = 9","","10417.0","11.129273504273504","","8377.0","12.070605187319885","","10767.0","10.897773279352228","","8017.0","11.965671641791046","","8179.0","11.204109589041096","","5938.0","11.9476861167002","","7002.0","14.679245283018869","","8587.0","14.335559265442404","","7808.0","12.695934959349593","","12567.0","12.88923076923077","","6024.0","10.279863481228668","","7248.0","13.154264972776769","","9566.0","11.898009950248756","","6165.0","12.711340206185566",""
"CL = 58"," -> ","VM = 10","","10417.0","11.129273504273504","","8377.0","12.070605187319885","","10767.0","10.897773279352228","","8017.0","11.965671641791046","","8179.0","11.204109589041096","","5938.0","11.9476861167002","","7002.0","14.679245283018869","","8587.0","14.335559265442404","","7808.0","12.695934959349593","","12567.0","12.88923076923077","","8247.0","14.073378839590443","","7248.0","13.154264972776769","","9566.0","11.898009950248756","","6165.0","12.711340206185566",""
"CL = 59"," -> ","VM = 2","","10417.0","11.129273504273504","","8377.0","12.070605187319885","","12059.0","12.205465587044534","","8017.0","11.965671641791046","","8179.0","11.204109589041096","","5938.0","11.9476861167002","","7002.0","14.679245283018869","","8587.0","14.335559265442404","","7808.0","12.695934959349593","","12567.0","12.88923076923077","","8247.0","14.073378839590443","","7248.0","13.154264972776769","","9566.0","11.898009950248756","","6165.0","12.711340206185566",""
"CL = 60"," -> ","VM = 0","","12900.0","13.782051282051283","","8377.0","12.070605187319885","","12059.0","12.205465587044534","","8017.0","11.965671641791046","","8179.0","11.204109589041096","","5938.0","11.9476861167002","","7002.0","14.679245283018869","","8587.0","14.335559265442404","","7808.0","12.695934959349593","","12567.0","12.88923076923077","","8247.0","14.073378839590443","","7248.0","13.154264972776769","","9566.0","11.898009950248756","","6165.0","12.711340206185566",""
