"Cloudlet ID","STATUS","Data center ID","VM ID","Time","Start Time","Finish Time","user id"
"223","SUCCESS","3","13","4.96","68.57","73.54","4"
"290","SUCCESS","3","10","5.18","68.46","73.65","4"
"311","SUCCESS","2","3","4.31","69.4","73.72","4"
"291","SUCCESS","3","11","3.77","70.7","74.46","4"
"316","SUCCESS","3","8","3.7","71.73","75.43","4"
"230","SUCCESS","2","6","5.52","70.21","75.73","4"
"237","SUCCESS","3","13","2.29","73.54","75.83","4"
"343","SUCCESS","3","7","4.23","72.2","76.42","4"
"271","SUCCESS","2","5","5.2","71.42","76.62","4"
"325","SUCCESS","2","3","3.49","73.72","77.21","4"
"330","SUCCESS","3","8","2.13","75.43","77.56","4"
"305","SUCCESS","3","11","3.2","74.46","77.67","4"
"304","SUCCESS","3","10","4.27","73.65","77.92","4"
"285","SUCCESS","2","5","2.43","76.62","79.05","4"
"244","SUCCESS","2","6","4.06","75.73","79.79","4"
"319","SUCCESS","3","11","2.78","77.67","80.44","4"
"339","SUCCESS","2","3","3.27","77.21","80.48","4"
"318","SUCCESS","3","10","2.64","77.92","80.55","4"
"344","SUCCESS","3","8","3.11","77.56","80.66","4"
"299","SUCCESS","2","5","2.19","79.05","81.24","4"
"251","SUCCESS","3","13","5.87","75.83","81.7","4"
"313","SUCCESS","2","5","2.18","81.24","83.42","4"
"332","SUCCESS","3","10","3.88","80.55","84.43","4"
"333","SUCCESS","3","11","4.31","80.44","84.76","4"
"258","SUCCESS","2","6","6.11","79.79","85.9","4"
"327","SUCCESS","2","5","3.2","83.42","86.62","4"
"265","SUCCESS","3","13","5.84","81.7","87.54","4"
"347","SUCCESS","3","11","2.89","84.76","87.65","4"
"346","SUCCESS","3","10","3.33","84.43","87.76","4"
"272","SUCCESS","2","6","3.99","85.9","89.9","4"
"341","SUCCESS","2","5","4.35","86.62","90.97","4"
"279","SUCCESS","3","13","5.88","87.54","93.42","4"
"286","SUCCESS","2","6","4.72","89.9","94.61","4"
"293","SUCCESS","3","13","2.82","93.42","96.24","4"
"300","SUCCESS","2","6","3.5","94.61","98.11","4"
"307","SUCCESS","3","13","5.05","96.24","101.3","4"
"314","SUCCESS","2","6","4.41","98.11","102.52","4"
"328","SUCCESS","2","6","2.96","102.52","105.49","4"
"321","SUCCESS","3","13","5.38","101.3","106.67","4"
"342","SUCCESS","2","6","2.43","105.49","107.92","4"
"335","SUCCESS","3","13","6.18","106.67","112.85","4"
"349","SUCCESS","3","13","5.29","112.85","118.14","4"
